Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
序号,设备名称,设备编号（*）,SN码（*）,品牌,型号规格,数量,单位,配件,状态,使用状态,备注,图片（一项设备类名添加一份图片）
1,ALGE终点摄像,YD25-ALGE终点摄像-001,221025019,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
2,ALGE终点摄像,YD25-ALGE终点摄像-002,181101017,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
3,ALGE终点摄像,YD25-ALGE终点摄像-003,230319014,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
4,ALGE终点摄像,YD25-ALGE终点摄像-004,181101009,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
5,ALGE终点摄像,YD25-ALGE终点摄像-005,190318011,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
6,ALGE终点摄像,YD25-ALGE终点摄像-006,190318015,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,拍摄有雪花、适配器不是原装,
7,ALGE终点摄像,YD25-ALGE终点摄像-007,190318023,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
8,ALGE终点摄像,YD25-ALGE终点摄像-008,190318014,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
9,ALGE终点摄像,YD25-ALGE终点摄像-009,230319018,ALGE,OPTIC3-F,1,套,网线*2、电源线*1、供电模块*1、云台*1，镜头盖*1，防雨罩*1，保护箱*1,,,,
,,,,,,,,,,,,
10,ALGE倒计时钟,YD25-ALGE倒计时钟-001,20121808,ALGE,ALGE-ASC3,1,套,电源线*1、安卓线*1、控制盒*1，保护箱*1,,,,
